title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms,location,best_match_idx,best_match_title,best_match_score
"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",,"Using establishment-level micro data from the U.S. Census Bureau, this paper studies the impact of Chinese import penetration on firm reorganization and relocation across local labor markets. We find three main results. First, the negative effect of Chinese import penetration on local manufacturing employment documented in the existing literature is driven primarily by large, importing firms that simultaneously expand employment in non-manufacturing. A third of this negative manufacturing effect is accounted for by establishments switching their reported industry affiliation to non-manufacturing. Second, the reorganization of firm activity occurs mainly away from production of machinery, electronics, and transportation equipment towards wholesale, professional services (including R&D), and management. Together, the results are indicative of a “Silicone Valley” story of offshoring according to which firms focus U.S. activities on research, design, and distribution but produce the actual goods abroad. Third, the reorganization of firm activity occurs unevenly across local labor markets. The negative employment effects in manufacturing are concentrated in areas with below human capital (mainly the South and Mid-West) whereas most of the positive employment effects in non-manufacturing occur in areas with above average human capital (mainly the West and East coasts). This suggests one reason why the China shock polarizes politics.",2019,2019-01-01,3,"{'Kyle Handley', 'André Kurmann', 'Nicholas Bloom', 'Philip Luck'}",,"Migration, Ethnicity, and Economy; Global trade and economics; Regional Economics and Spatial Analysis",2019 Meeting Papers,article,Andre Kurmann,https://openalex.org/A5033795365,Survey of Plant Capacity Utilization; Service Annual Survey; Foreign Trade Data - Import; Census Bureau,Census Bureau,Michigan,824,"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",100
Factoryless Goods Producers in the US,https://doi.org/10.2139/ssrn.2324360,"This paper documents the extent and characteristics of plants and firms in the US that are outside the manufacturing sector according to official government statistics but nonetheless are heavily involved in activities related to the production of manufactured goods. Using new data on establishment activities in the Census of Wholesale Trade conducted by the US Bureau of the Census in 2002 and 2007, this paper provides evidence on so-called ""factoryless goods producers"" (FGPs) in the US economy. FGPs are formally in the wholesale sector but, unlike traditional wholesale establishments, FGPs design the goods they sell and coordinate the production activities. This paper documents the extent of FGPs in the wholesale sector and their employment, wages, productivity and output. Reclassifying FGP establishments to the manufacturing sector would have increased manufacturing employment anywhere from 595,000 to 1,311,000 workers in 2002 and from 431,000 to 1,934,000 workers in 2007.",2013,2013-01-01,3,"{'Teresa Fort', 'Andrew B. Bernard'}",Dartmouth College; Centre for Economic Policy Research; National Bureau of Economic Research; Dartmouth College,"Global trade and economics; Firm Innovation and Growth; Global trade, sustainability, and social impact",SSRN Electronic Journal,article,Andrew B Bernard,https://openalex.org/A5034238250,Auxiliary Establishment - ES9200; Census of Wholesale Trade; FSRDC; Census of Construction Industries,Census of Wholesale Trade,Boston,915,Factoryless Goods Producers in the U.S,96
Individual Characteristics and the Disability Employment Gap,https://doi.org/10.1177/1044207315585823,"Although people with disabilities have poorer employment outcomes, on average, than do people without disabilities, some of them fare relatively well in the labor market. To learn more about the individual characteristics associated with positive employment outcomes among people with disabilities, we use data from the 2009–2011 American Community Survey to examine differences in employment outcomes by demographic and other individual characteristics in a multivariable framework. Controlling for all other individual characteristics, we find the employment gap between individuals with and without disabilities is smaller among those in their 20s and 60s relative to the middle aged, Asians relative to Whites, Hispanics relative to non-Hispanics, married individuals, individuals with higher levels of educational attainment, and women. Overall, results suggest that policies and practices designed to improve employment outcomes among people with disabilities should consider how individual characteristics interact with disability as challenges to or facilitators of employment success.",2015,2015-06-11,52,"{'Andrew J. Houtenville', 'Purvi Sevak', 'Debra L. Brucker', 'John O’Neill'}",Mathematica Policy Research; Hunter College; University of New Hampshire; University of New Hampshire; Kessler Foundation,"Disability Education and Employment; Retirement, Disability, and Employment; Labor market dynamics and wage inequality",Journal of Disability Policy Studies,article,Andrew J Houtenville,https://openalex.org/A5110699752,American Community Survey; FSRDC; Cornell RDC; Decennial Census; Census Bureau,American Community Survey,Cornell,852,Individual Characteristics and the Disability Employment Gap,100
State and Local Determinants of Employment Outcomes Among Individuals With Disabilities,https://doi.org/10.1177/1044207318782676,"In the United States, employment rates among individuals with disabilities are persistently low but vary substantially. In this study, we examined the relationship between employment outcomes and features of the state and county physical, economic, and policy environment among a national sample of individuals with disabilities. To do so, we merged a set of state- and county-level environmental variables with data from the 2009–2011 American Community Survey accessed in a U.S. Census Research Data Center. We estimated regression models of employment, work hours, and earnings as a function of disability, personal characteristics, and these environmental features. We found that economic conditions and physical environmental variables had stronger associations than policy variables with employment outcomes. Although the estimated importance of environmental variables was small relative to individual disability and personal characteristics, our results suggest that these variables may present barriers or facilitators to employment that can explain some geographic variation in employment outcomes across the United States.",2018,2018-07-11,10,"{'Andrew J. Houtenville', 'Purvi Sevak', 'Debra L. Brucker', 'John O’Neill'}",Mathematica Policy Research; Kessler Foundation; University of New Hampshire; University of New Hampshire,"Retirement, Disability, and Employment; Disability Education and Employment; Employment and Welfare Studies",Journal of Disability Policy Studies,article,Andrew J Houtenville,https://openalex.org/A5110699752,American Community Survey; FSRDC; Cornell RDC; Decennial Census; Census Bureau,American Community Survey,Cornell,853,State and Local Determinants of Employment Outcomes Among Individuals With Disabilities,100
State and Local Determinants of Employment Outcomes among Individuals with Disabilities,,"In the United States, employment rates among individuals with disabilities are persistently low but vary substantially. In this study, we examine the relationship between employment outcomes and features of the state and county physical, economic, and policy environment among a national sample of individuals with disabilities. To do so, we merge a set of state- and county-level environmental variables with data from the 2009–2011 American Community Survey accessed in a U.S. Census Research Data Center. We estimate regression models of employment, work hours, and earnings as a function of health conditions, personal characteristics, and these environmental features. We find that certain environmental variables are significantly associated with employment outcomes. Although the estimated importance of environmental variables is small relative to individual health and personal characteristics, our results suggest that these variables may present barriers or facilitators to employment that can explain some geographic variation in employment outcomes across the United States.",2016,2016-03-01,0,"{'Andrew J. Houtenville', 'Purvi Sevak', 'Debra L. Brucker', 'John O’Neill'}",Mathematica Policy Research; Kessler Foundation; University of New Hampshire; University of New Hampshire,"Retirement, Disability, and Employment; Disability Education and Employment",RePEc: Research Papers in Economics,preprint,Andrew J Houtenville,https://openalex.org/A5110699752,American Community Survey; FSRDC; Cornell RDC; Decennial Census; Census Bureau,American Community Survey,Cornell,854,State and Local Determinants of Employment Outcomes among Individuals with Disabilities,100
Wage Determination in Social Occupations: The Role of Individual Social Capital,https://doi.org/10.1108/s0147-912120180000046005,"The purpose of this chapter is to assess the importance of individual social capital characteristics in determining wages, both directly through their valuation by employers and indirectly through their impact on individual occupational choice. We find that a person's level of sociability and care for others works through both channels to explain wage differences between social and nonsocial occupations. Additionally, expected wages in each occupation type are found to be at least as important as a person's level of social capital in choosing a social occupation. We make use of restricted 2000 Decennial Census and 2000 Social Capital Community Benchmark Survey.",2018,2018-07-23,6,"{'Julie L. Hotchkiss', 'Anil Rupasingha'}",Federal Reserve Bank of Atlanta; Georgia State University; Economic Research Service,"Labor market dynamics and wage inequality; Urban, Neighborhood, and Segregation Studies; Intergenerational and Educational Inequality Studies",Research in labor economics,book-chapter,Anil Rupasingha,https://openalex.org/A5079464967,Census of Mining; American Community Survey; Atlanta RDC; Census Edited File; Decennial Census,Decennial Census,Penn State,979,Wage Determination in Social Occupations: The Role of Individual Social Capital,100
Wage Determination in Social Occupations: The Role of Individual Social Capital,https://doi.org/10.2139/ssrn.2863236,"We make use of predicted social and civic activities (social capital) to account for selection into ""social"" occupations. Individual selection accounts for more than the total difference in wages observed between social and non-social occupations. The role that individual social capital plays in selecting into these occupations and the importance of selection in explaining wage differences across occupations is similar for both men and women. We make use of restricted 2000 Decennial Census and 2000 Social Capital Community Benchmark Survey. Individual social capital is instrumented by distance weighted surrounding census tract characteristics.",2016,2016-01-01,1,"{'Julie L. Hotchkiss', 'Anil Rupasingha'}",Georgia State University; Federal Reserve Bank of Atlanta,"Social Capital and Networks; Urban, Neighborhood, and Segregation Studies",SSRN Electronic Journal,article,Anil Rupasingha,https://openalex.org/A5079464967,Census of Mining; American Community Survey; Atlanta RDC; Census Edited File; Decennial Census,Decennial Census,Penn State,983,Wage Determination in Social Occupations: The Role of Individual Social Capital,100
Wage Determination in Social Occupations: The Role of Individual Social Capital,https://doi.org/10.2139/ssrn.2863982,"We make use of predicted social and civic activities (social capital) to account for selection into ""social"" occupations. Individual selection accounts for more than the total difference in wages observed between social and non-social occupations. The role that individual social capital plays in selecting into these occupations and the importance of selection in explaining wage differences across occupations is similar for both men and women. We make use of restricted 2000 Decennial Census and 2000 Social Capital Community Benchmark Survey. Individual social capital is instrumented by distance weighted surrounding census tract characteristics.",2016,2016-01-01,0,"{'Julie L. Hotchkiss', 'Anil Rupasingha'}",Georgia State University; Federal Reserve Bank of Atlanta,Labor market dynamics and wage inequality; Youth Education and Societal Dynamics,SSRN Electronic Journal,article,Anil Rupasingha,https://openalex.org/A5079464967,Census of Mining; American Community Survey; Atlanta RDC; Census Edited File; Decennial Census,Decennial Census,Penn State,983,Wage Determination in Social Occupations: The Role of Individual Social Capital,100
In-migration and Dilution of Community Social Capital,https://doi.org/10.1177/0160017621994630,"In this paper, we find that higher levels of in-migration dilute multiple dimensions of a community’s social capital, with some measures of a community’s social capital being negatively impacted more than others. Using a spatial model and restricted-access microdata from the US Census Bureau, we employ an instrumental variables strategy to account for the endogeneity of migration. Our results suggest that political activism, overall, is most negatively impacted by in-migration, and that religiosity, trust, and community involvement are impacted more negatively in rural communities compared to non-rural communities.",2021,2021-02-22,3,"{'Thor Watson', 'Julie L. Hotchkiss', 'Anil Rupasingha'}",Georgia State University; Federal Reserve Bank of Atlanta; Rural Resources; University of Georgia,"Urban, Neighborhood, and Segregation Studies; Social Capital and Networks; Migration and Labor Dynamics",International Regional Science Review,article,Anil Rupasingha,https://openalex.org/A5079464967,Census Bureau,Census Bureau,Penn State,984,In-Migration and Dilution of Community Social Capital,100
What do I Take with Me: The Impact of Transfer and Replication of Resources on Parent and Spin-Out Firm Performance,https://doi.org/10.2139/ssrn.1762561,"Focusing on entrepreneurial ventures created by employees leaving a firm, our study examines the differential impact of knowledge transfer and knowledge spillovers on both parent and spin-out performance. While extant research often uses knowledge transfer and spillover interchangeably, our study distinguishes between the two based on the rivalness of the relevant knowledge. We theorize that both knowledge transfer (proxied by the size of the exiting employee team) and knowledge spillovers (proxied by the experience of the exiting employee team) will aid spin-out performance. However, knowledge transfer, being more rival, will have a greater adverse impact than knowledge spillovers on parent firm performance. Using U.S. Census Bureau linked employee-employer data from the legal services industry, we find support for our hypotheses. Our study thus contributes to extant literature by highlighting a key dimension of knowledge - rivalness - and the differential competitive dynamics effect of resources with varying degrees of rivalness.",2011,2011-01-01,8,"{'April Franco', 'Rajshree Agarwal', 'Benjamin A. Campbell', 'Martin Ganco'}",Fisher College; The Ohio State University; University of Toronto; The Scarborough Hospital; University of Wisconsin–Madison,Corporate Finance and Governance; Entrepreneurship Studies and Influences; Firm Innovation and Growth,SSRN Electronic Journal,article,Benjamin A Campbell,https://openalex.org/A5027991191,Minnesota RDC; Census Bureau; Kauffman Firm Survey,Census Bureau,Minnesota,306,What Do I Take With Me: The Impact of Transfer and Replication of Resources on Parent and Spin-Out Firm Performance,100
What Do I Take With Me: The Impact of Transfer and Replication of Resources on Parent and Spin-Out Firm Performance,,"Focusing on entrepreneurial ventures created by employees leaving a firm, our study examines the differential impact of knowledge transfer and knowledge spillovers on both parent and spin-out performance. While extant research often uses knowledge transfer and spillover interchangeably, our study distinguishes between the two based on the “rivalness” of the relevant knowledge. We theorize that both knowledge transfer (proxied by the size of the exiting employee team) and knowledge spillovers (proxied by the experience of the exiting employee team) will aid spin-out performance. However, knowledge transfer, being more rival, will have a greater adverse impact than knowledge spillovers on parent firm performance. Using U.S. Census Bureau linked employee-employer data from the legal services industry, we find support for our hypotheses. Our study thus contributes to extant literature by highlighting a key dimension of knowledge — rivalness — and the differential competitive dynamics effect of resources with varying degrees of rivalness.",2011,2011-02-01,1,"{'April Franco', 'Rajshree Agarwal', 'Benjamin A. Campbell', 'Martin Ganco'}",,Corporate Finance and Governance; Entrepreneurship Studies and Influences; Family Business Performance and Succession,RePEc: Research Papers in Economics,preprint,Benjamin A Campbell,https://openalex.org/A5027991191,Minnesota RDC; Census Bureau; Kauffman Firm Survey,Census Bureau,Minnesota,306,What Do I Take With Me: The Impact of Transfer and Replication of Resources on Parent and Spin-Out Firm Performance,100
Do Public Tuition Subsidies Promote College Enrollment? Evidence from Community College Taxing Districts in Texas,https://doi.org/10.2139/ssrn.2523453,"This paper estimates the effect of tuition rates on college enrollment using data for Texas from the 1990 and 2000 Censuses and the 2004-2010 American Community Surveys and geographical data on Community College Taxing Districts. The effect of tuition on enrollment is identified by the facts that tuition rates for those living within a taxing district are lower than those living outside the taxing district and in Texas not all geographic locations are in a taxing district. While the estimated effect of tuition on enrollment depends on the sample used, it is negative and mostly statistically significant in the samples of adults 18 and older and negative and sometimes statistically significant in the samples of traditional age students 18 to 24. The estimated effect of tuition on enrollment, however, is found to vary considerably by poverty level status with an increase in tuition rates having a statistically significant negative effect on college enrollment for those with household incomes that are at least 200% of the poverty level both for traditional aged students 18 to 24 years old and all adults 18 and older.",2014,2014-01-01,12,"{'Paco Martorell', 'Brian P. McCall', 'Isaac McFarlin'}",RAND Corporation; University of Michigan–Ann Arbor; University of Michigan–Ann Arbor,Fiscal Policy and Economic Growth; Higher Education Research Studies,SSRN Electronic Journal,article,Brian P McCall,https://openalex.org/A5080519407,American Community Survey; FSRDC; Michigan RDC; American Community Survey Unedited Microdata; Decennial Census,American Community Survey,Michigan,618,Do Public Tuition Subsidies Promote College Enrollment? Evidence from Community College Taxing Districts in Texas,100
DO PUBLIC TUITION SUBSIDIES PROMOTE COLLEGE ENROLLMENT? EVIDENCE FROM COMMUNITY COLLEGE TAXING DISTRICTS IN TEXAS,,"This paper estimates the effect of tuition rates on college enrollment using data for Texas from the 1990 and 2000 Censuses and the 2004 – 2010 American Community Surveys and geographical data on Community College Taxing Districts. The effect of tuition on enrollment is identified by the facts that tuition rates for those living within a taxing district are lower than those living outside the taxing district and in Texas not all geographic locations are in a taxing district. While the estimated effect of tuition on enrollment depends on the sample used, it is negative and mostly statistically significant in the samples of iadults 18 and older and negative and sometimes statistically significant in the samples of traditional age students 18 to 24. The estimated effect of tuition on enrollment, however, is found to vary considerably by poverty level status with an increase in tuition rates having a statistically significant negative effect on college enrollment for those with household incomes that are at least 200% of the poverty level both for traditional aged students 18 to 24 years old and all adults 18 and older.",2014,2014-09-01,1,"{'Paco Martorell', 'Brian P. McCall', 'Isaac McFarlin'}",,"Higher Education Research Studies; Urban, Neighborhood, and Segregation Studies; School Choice and Performance",RePEc: Research Papers in Economics,preprint,Brian P McCall,https://openalex.org/A5080519407,American Community Survey; FSRDC; Michigan RDC; American Community Survey Unedited Microdata; Decennial Census,American Community Survey,Michigan,618,Do Public Tuition Subsidies Promote College Enrollment? Evidence from Community College Taxing Districts in Texas,100
