title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,matched_dataset_terms,mention_restricted_data,mention_disclosure_review,mention_rdc
"Income, Wealth, and Environmental Inequality in the United States",https://doi.org/10.1093/socpro/spy016,"This paper explores the relationships between air pollution, income, wealth, and race by combining administrative data from U.S. tax returns between 1979–2016, various measures of air pollution, and sociodemographic information from linked survey and administrative data. In the first year of our data, the relationship between income and ambient pollution levels nationally is approximately zero for both non-Hispanic White and Black individuals. However, at every single percentile of the national income distribution, Black individuals are exposed to, on average, higher levels of pollution than White individuals. By 2016, the relationship between income and air pollution had steepened, primarily for Black individuals, driven by changes in where rich and poor Black individuals live. We utilize quasi-random shocks to income to examine the causal effect of changes in income and wealth on pollution exposure over a five year horizon, finding that these income–pollution elasticities map closely to the values implied by our descriptive patterns. We calculate that Black-White differences in income can explain ~10 percent of the observed gap in air pollution levels in 2016.",2024,2018-08-10,260.0,"{'Reed Walker', 'John Voorheis', 'Suvy Qin', 'Jonathan Colmer'}",,Damages; Inequality; Natural disaster; Natural hazard; Hazard; Social inequality; Panel Study of Income Dynamics; Economic inequality; Economics; Demographic economics; Geography; Political science; Mathematical analysis; Mathematics; Meteorology; Law; Chemistry; Organic chemistry,,article,Suvy Qin,,True,False,False
Revisions to the LEHD Establishment Imputation Procedure and Applications to Administrative Job Frame,https://doi.org/10.7208/chicago/9780226172576.003.0006,"The Census Bureau is developing a “job frame” to provide detailed job-level employment data across the U.S. through linked administrative records such as unemployment insurance and IRS W-2 filings. This working paper summarizes the research conducted by the job frame development team on modifying and extending the LEHD Unit-to-Worker (U2W) imputation procedure for the job frame prototype. It provides a conceptual overview of the U2W imputation method, highlighting key challenges and tradeoffs in its current application. The paper then presents four imputation methodologies and evaluates their performance in areas such as establishment assignment accuracy, establishment size matching, and job separation rates. The results show that all methodologies perform similarly in assigning workers to the correct establishment. Non-spell-based methodologies excel in matching establishment sizes, while spell-based methodologies perform better in accurately tracking separation rates.",2024,2009-01-01,308.0,"{'Lee Tucker', 'Filip Babalievsky', 'Moises Yi', 'Lawrence F. Warren', 'Hubert P. Janicki', 'Stephen R. Tibbets', 'Lawrence Warren'}",,Workforce; Business; Computer science; Economics; Economic growth,,book-chapter,Moises Yi,,True,False,False
Aggregation Bias in the Measurement of U.S. Global Value Chains,https://doi.org/10.1016/s0140-6736(21)02724-0,"This paper measures global value chain (GVC) activity, defined as imported content of exports, of U.S. manufacturing plants between 2002 and 2012. We assesses the extent of aggregation bias that arises from relying on industry-level exports, imports, and output to establish three results. First, GVC activity based on industry-level data underestimate the actual degree of GVC engagement by ignoring potential correlations between import and export activities across plants within industries. Second, the bias grew over the sample period. Finally, unlike with industry-level measures, we find little slowdown in GVC integration by U.S. manufacturers.",2024,2022-01-19,9583.0,"{'Aaron Flaaen', 'Eunhee Lee', 'Fariha Kamal', 'Kei-Mu Yi', 'Kei-Mu  Yi'}",,Medicine; Antibiotic resistance; Infectious disease (medical specialty); Drug resistance; Incidence (geometry); Disease burden; Disease; Intensive care medicine; Antibiotics; Internal medicine; Biology; Microbiology; Physics; Optics,,review,Fariha Kamal,,True,False,False
Empirical Distribution of the Plant-Level Components of Energy and Carbon Intensity at the Six-digit NAICS Level Using a Modified KAYA Identity,,"Three basic pillars of industry-level decarbonization are energy efficiency, decarbonization of energy sources, and electrification. This paper provides estimates of a decomposition of these three components of carbon emissions by industry: energy intensity, carbon intensity of energy, and energy (fuel) mix. These estimates are constructed at the six-digit NAICS level from non-public, plant-level data collected by the Census Bureau. Four quintiles of the distribution of each of the three components are constructed, using multiple imputation (MI) to deal with non-reported energy variables in the Census data. MI allows the estimates to avoid non-reporting bias. MI also allows more six-digit NAICS to be estimated under Census non-disclosure rules, since dropping non-reported observations may have reduced the sample sizes unnecessarily. The estimates show wide variation in each of these three components of emissions (intensity) and provide a first empirical look into the plant-level variation that underlies carbon emissions.",2024,,,"{'Gale Boyd', 'Yu Ma', 'Matthew Doolin'}",,,,,Matthew Doolin,,True,False,False
Gradient Boosting to Address Statistical Problems Arising from Non-Linkage of Census Bureau Datasets,https://doi.org/10.1787/7a7afb35-en,"This article introduces the twangRDC package, which contains functions to address non-linkage in US Census Bureau datasets. The Census Bureau’s Person Identification Validation System facilitates data linkage by assigning unique person identifiers to federal, third party, decennial census, and survey data. Not all records in these datasets can be linked to the reference file and as such not all records will be assigned an identifier. This article is a tutorial for using the twangRDC to generate nonresponse weights to account for non-linkage of person records across US Census Bureau datasets.",2024,2023-11-07,291.0,"{'Todd Gardner', 'John Sullivan', 'Elizabeth Fussell', 'Matthew Cefalu', 'Narayan Sastry'}",,Environmental science,,book,John Sullivan,,True,False,False
Does Rapid Transit and Light Rail Infrastructure Improve Labor Market Outcomes?,https://doi.org/10.2139/ssrn.3650709,"Public transit has often been proposed as a solution to the spatial mismatch hypothesis but the link between public transit accessibility and employment has not been firmly established in the literature. Los Angeles provides an interesting case study – as the city has transformed from zero rail infrastructure before the 1990s to a large network consisting of subway, light rail, and bus rapid transit servicing diverse neighborhoods. I use confidential panel data from the American Community Survey, treating route placement as endogenous, which is then instrumented by the distance from the centroid of each tract in LA to a hypothetical Metro route. Overall, I find proximity to Metro stations increases employment for residents, which is robust to using both a binary and continuous measure of distance. Additionally, I find evidence that increased job density in neighborhoods near new transit stations is contributing to the employment increase.",2024,2020-01-01,1.0,{'Maysen Yen'},,Business; Light rail transit; Light rail; Transport engineering; Industrial organization; Labour economics; Economics; Public transport; Engineering,,article,Maysen Yen,american community survey,False,False,False
Interpreting Cohort Profiles of Lifecycle Earnings Volatility,https://doi.org/10.1086/732667,"We present new estimates of earnings volatility over time and the lifecycle for men and women by race and human capital. Using a long panel of restricted-access administrative Social Security earnings linked to the Current Population Survey, we estimate volatility with both transparent summary measures, as well as decompositions into permanent and transitory components. From the late 1970s to the mid 1990s there is a strong negative trend in earnings volatility for both men and women. We show this is driven by a reduction in transitory variance. Starting in the mid 1990s there is relative stability in trends of male earnings volatility because of an increase in the variance of permanent shocks, especially among workers without a college education, and a more attenuated trend decline among women. Cohort analyses indicate a strong U-shape pattern of volatility over the working life, which comes from large permanent shocks early and later in the lifecycle. However, this U-shape shifted downward and leftward in more recent cohorts, the latter from the fanning out of lifecycle transitory volatility in younger cohorts. These patterns are more pronounced among White men and women compared to Black workers.",2024,2024-08-12,3.0,"{'Charles Hokayem', 'James P. Ziliak', 'Christopher R. Bollinger', 'Richard  Blundell', 'Richard Blundell'}",,Earnings; Volatility (finance); Economics; Labour economics; Cohort; Econometrics; Finance; Mathematics; Statistics,,article,Christopher R. Bollinger,current population survey,False,False,False
Where Are Your Parents? Exploring Potential Bias in Administrative Records on Children,https://doi.org/10.1136/bmj.316.7139.1236,"This paper examines potential bias in the Census Household Composition Key's (CHCK) probabilistic parent-child linkages. By linking CHCK data to the American Community Survey (ACS), we reveal disparities in parent-child linkages among specific demographic groups and find that characteristics of children that can and cannot be linked to the CHCK vary considerably from the larger population. In particular, we find that children from low-income, less educated households and of Hispanic origin are less likely to be linked to a mother or a father in the CHCK. We also highlight some data considerations when using the CHCK.",2024,1998-04-18,5581.0,"{'Kelsey Drotning', 'Katie R. Genadek', 'Jennifer  Bernard', 'Jennifer Bernard'}",,Molecular biology; IL-2 receptor; Biology; T cell; Cytokine; Immunology; Immune system,,review,Katie R. Genadek,american community survey,True,False,False
Family Resources and Human Capital in Economic Downturns,https://doi.org/10.1002/j.2051-5545.2012.tb00114.x,"I study how recessions impact the human capital of young adults and how these effects vary over the parent income gradient. Using a novel confidential linked survey dataset from U.S. Census, I document that the negative effects of worse local unemployment shocks on educational attainment are strongly concentrated among middle-class children, with losses in parental home equity being potentially important mechanisms. To probe the aggregate implications of these findings and assess policy implications, I develop a model of selection into college and life-cycle earnings that comprises endogenous parental transfers for education, multiple schooling options, and uncertainty in post-graduation employment outcomes. Simulating a recession in the model produces a “hollowing out the middle” in lifecycle earnings in the aggregate, and educational borrowing constraints play a key role in this result. Counterfactual policies to expand college access in response to the recession can mitigate these effects but struggle to be cost effective.",2024,2012-10-01,222.0,"{'Garrett Anstreicher', 'Garrett  Anstreicher'}",,Medicine; Mental health; Psychiatry,,article,Garrett Anstreicher,,True,False,False
High-Growth Firms in the United States: Key Trends and New Data Opportunities,https://doi.org/10.17016/feds.2024.074,"Using administrative data from the U.S. Census Bureau, we introduce a new public-use database that tracks activities across firm growth distributions over time and by firm and establishment characteristics. With these new data, we uncover several key trends on high-growth firms—critical engines of innovation and economic growth. First, the share of firms that are high-growth has steadily decreased over the past four decades, driven not only by falling firm entry rates but also languishing growth among existing firms. Second, this decline is particularly pronounced among young and small firms, while the share of high-growth firms has been relatively stable among large and old firms. Third, the decline in high-growth firms is found in all sectors, but the information sector has shown a modest rebound beginning in 2010. Fourth, there is significant variation in high-growth firm activity across states, with California, Texas, and Florida having high shares of high-growth firms. We highlight several areas for future research enabled by these new data.",2024,2024-09-01,1.0,"{'J. Daniel Kim', 'Nathan Goldschlag', 'J. Daniel  Kim', 'John  Haltiwanger', 'Joonkyu Choi', 'John Haltiwanger'}",,Key (lock); Business; Data science; Political science; Computer science; Computer security,,article,Joonkyu Choi,,True,False,False
The Long-Term Effects of Income for At-Risk Infants: Evidence from Supplemental Security Income,https://doi.org/10.3386/w31746,"This paper examines whether a generous cash intervention early in life can ""undo"" some of the long-term disadvantage associated with poor health at birth. We use new linkages between several large-scale administrative datasets to examine the short-, medium-, and long-term effects of providing low-income families with low birthweight infants support through the Supplemental Security Income (SSI) program. This program uses a birthweight cutoff at 1200 grams to determine eligibility. We find that families of infants born just below this cutoff experience a large increase in cash benefits totaling about 27%of family income in the first three years of the infant's life. These cash benefits persist at lower amounts through age 10. Eligible infants also experience a small but statistically significant increase in Medicaid enrollment during childhood. We examine whether this support affects health care use and mortality in infancy, educational performance in high school, post-secondary school attendance and college degree attainment, and earnings, public assistance use, and mortality in young adulthood for all infants born in California to low-income families whose birthweight puts them near the cutoff. We also examine whether these payments had spillover effects onto the older siblings of these infants who may have also benefited from the increase in family resources. Despite the comprehensive nature of this early life intervention, we detect no improvements in any of the study outcomes, nor do we find improvements among the older siblings of these infants. These null effects persist across several subgroups and alternative model specifications, and, for some outcomes, our estimates are precise enough to rule out published estimates of the effect of early life cash transfers in other settings.",2024,2023-09-01,4.0,"{'Gloria Aldana', 'Gloria Giselle Aldana', 'Laura R. Wherry', 'Mitchell D. Wong', 'Christopher A. Hollrah', 'Laura R Wherry', 'Sarah Miller', 'Amelia A. Hawkins'}",,Term (time); Economics; Demographic economics; Physics; Quantum mechanics,,report,Amelia A. Hawkins,,True,False,False
"The Changing Nature of Pollution, Income, and Environmental Inequality in the United States",https://doi.org/10.3386/w32060,"This paper uses administrative tax records linked to Census demographic data and high-resolution measures of fine small particulate (PM2.5) exposure to study the evolution of the Black-White pollution exposure gap over the past 40 years. In doing so, we focus on the various ways in which income may have contributed to these changes using a statistical decomposition. We decompose the overall change in the Black-White PM2.5 exposure gap into (1) components that stem from rank-preserving compression in the overall pollution distribution and (2) changes that stem from a reordering of Black and White households within the pollution distribution. We find a significant narrowing of the Black-White PM2.5 exposure gap over this time period that is overwhelmingly driven by rank-preserving changes rather than positional changes. However, the relative positions of Black and White households at the upper end of the pollution distribution have meaningfully shifted in the most recent years.",2024,2024-01-01,3.0,"{'Jonathan Colmer', 'John Voorheis', 'Reed Walker', 'Jonathan  Colmer', 'Suvy Qin'}",,Inequality; Economic inequality; Pollution; Environmental pollution; Environmental science; Geography; Economics; Environmental protection; Mathematics; Ecology; Biology; Mathematical analysis,,report,Suvy Qin,,True,False,False
"The 2010 Census Confidentiality Protections Failed, Here’s How and Why",,"Using only 34 published tables, we reconstruct five variables (census block, sex, age, race, and ethnicity) in the confidential 2010 Census person records. Using the 38-bin age variable tabulated at the census block level, at most 20.1% of reconstructed records can differ from their confidential source on even a single value for these five variables. Using only published data, an attacker can verify that all records in 70% of all census blocks (97 million people) are perfectly reconstructed. The tabular publications in Summary File 1 thus have prohibited disclosure risk similar to the unreleased confidential microdata. Reidentification studies confirm that an attacker can, within blocks with perfect reconstruction accuracy, correctly infer the actual census response on race and ethnicity for 3.4 million vulnerable population uniques (persons with nonmodal characteristics) with 95% accuracy, the same precision as the confidential data achieve and far greater than statistical baselines. The flaw in the 2010 Census framework was the assumption that aggregation prevented accurate microdata reconstruction, justifying weaker disclosure limitation methods than were applied to 2010 Census public microdata. The framework used for 2020 Census publications defends against attacks that are based on reconstruction, as we also demonstrate here. Finally, we show that alternatives to the 2020 Census Disclosure Avoidance System with similar accuracy (enhanced swapping) also fail to protect confidentiality, and those that partially defend against reconstruction attacks (incomplete suppression implementations) destroy the primary statutory use case: data for redistricting all legislatures in the country in compliance with the 1965 Voting Rights Act.",2023,,,"{'Sourya Dey', 'Simson L. Garfinkel', 'Nathan Goldschlag', 'David Darais', 'Ethan Lew', 'Lars Vilhuber', 'Daniel Kifer', 'Philip Leclerc', 'Tamara Adams', 'Scott Moore', 'Lars  Vilhuber', 'Rolando A. Rodríguez', 'Robert Ashmead', 'John M. Abowd', 'Ramy N. Tadros'}",,,,,Nathan Goldschlag,,True,False,False
Where to Build Affordable Housing? Evaluating the Tradeoffs of Location,https://doi.org/10.2139/ssrn.4888149,"How does the location of affordable housing affect tenant welfare, the distribution of assistance, and broader societal objectives such as racial integration? Using administrative data on tenants of units funded by the Low-Income Housing Tax Credit (LIHTC), we first show that characteristics such as race and proxies for need vary widely across neighborhoods. Despite fixed eligibility requirements, LIHTC developments in more opportunity-rich neighborhoods house tenants who are higher income, more educated, and far less likely to be Black. To quantify the welfare implications, we build a residential choice model in which households choose from both market-rate and affordable housing options, where the latter must be rationed. While building affordable housing in higher-opportunity neighborhoods costs more, it also increases household welfare and reduces city-wide segregation. The gains in household welfare, however, accrue to more moderate-need, non-Black/Hispanic households at the expense of other households. This change in the distribution of assistance is primarily due to a ‘crowding out’ effect: households that only apply for assistance in higher-opportunity neighborhoods crowd out those willing to apply regardless of location. Finally, other policy levers—such as lowering the income limits used for means-testing—have only limited effects relative to the choice of location.",2023,2024-01-01,2.0,"{'Ariel J. Binder', 'Cody Cook', 'Ariel J Binder', 'Pearl Z. Li'}",,Affordable housing; Business; Computer science; Economics; Economic growth,,preprint,Ariel J. Binder,,True,False,False
Productivity Dispersion and Structural Change in Retail Trade,https://doi.org/10.1596/1813-9450-2944,"The retail sector has changed from a sector full of small firms to one dominated by large, national firms. We study how this transformation has impacted productivity levels, growth, and dispersion between 1987 and 2017. We describe this transformation using three overlapping phases: expansion (1980s and 1990s), consolidation (2000s), and stagnation (2010s). We document five findings that help us understand these phases. First, productivity growth was high during the consolidation phase but has fallen more recently. Second, entering establishments drove productivity growth during the expansion phase, but continuing establishments have increased in importance more recently. Third, national chains have more productive establishments than single-unit firms on average, but some single-unit establishments are highly productive. Fourth, productivity dispersion is significant and increasing over time. Finally, more productive firms pay higher wages and grow more quickly. Together, these results suggest that the increasing importance of large national retail firms has been an important driver of productivity and wage growth in the retail sector.",2023,2003-01-03,613.0,"{'Jay Stewart', 'Zoltan  Wolf', 'Glenn Jacob Blackwood', 'Zoltan Wolf', 'Dominic Smith', 'Michael D. Giandrea', 'Jay  Stewart', 'G. Jacob Blackwood', 'Cheryl  Grim', 'Dominic Aloysius Smith', 'Cheryl Grim'}",,Productivity; Economics; Economic geography; Macroeconomics,,book,Dominic Smith,,True,False,False
Output Market Power and Spatial Misallocation,https://doi.org/10.1257/mac.20170388,"Most product industries are local. In the U.S., firms selling goods and services to local consumers account for half of total sales and generate more than sixty percent of the nation’s jobs. Competition in these industries occurs in local product markets: cities. I propose a theory of such competition in which firms have output market power. Spatial differences in local competition arise endogenously due to the spatial sorting of heterogeneous firms. The ability to charge higher markups induces more productive firms to overvalue locating in larger cities, leading to a misallocation of firms across space. The optimal policy incen tivizes productive firms to relocate to smaller cities, providing a rationale for commonly used place-based policies. I use U.S. Census establishment-level data to estimate markups and to structurally estimate the model. I document a significant heterogeneity in markups for local industries across U.S. cities. Cities in the top decile of the city-size distribution have a fifty percent lower markup than cities in the bottom decile. I use the estimated model to quantify the general equilibrium effects of place-based policies. Policies that remove markups and relocate firms to smaller cities yield sizable aggregate welfare gains.",2023,2019-04-01,537.0,{'Santiago Franco'},,Metropolitan area; Productivity; Limiting; Economics; Aggregate (composite); Bay; Spatial mismatch; Econometrics; Labour economics; Geography; Macroeconomics; Engineering; Mechanical engineering; Materials science; Archaeology; Composite material,,article,Santiago Franco,,True,False,False
