"ProjectTitle","Project Abstract","OutputTitle","OutputBiblio","OutputYear","ProjectRDC","Keywords","Authors","Year","DOI"
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Plants and Productivity in International Trade","Bernard, Andrew, B., Jonathan Eaton, J. Bradford Jensen, and Samuel Kortum. 2003. ""Plants and Productivity in International Trade."" NBER Working Paper 7688.","2003","Boston",NA,"Bernard, Andrew, B., Jonathan Eaton, J. Bradford Jensen, and Samuel Kortum.","2003",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Exporting and Productivity in the US","Bernard, Andrew B. and J. Bradford Jensen. Exporting and Productivity in the US. Oxford Review of Economic Policy, Volume 20, Issue 3, September 2004, Pages 343–357, https://doi.org/10.1093/oxrep/grh020","2004","Boston",NA,"Bernard, Andrew B. and J. Bradford Jensen. Exporting and Productivity in the US. Oxford Review of Economic Policy, Volume","2004","10.1093/oxrep/grh020"
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Assessing the Impact of Trade Liberalization on Import-Competing Industries in the Appalachian Region","Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott. (2004) “Assessing the Impact of Trade Liberalization on Import-Competing Industries in the Appalachian Region.” Mimeo.","2004","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott.","2004",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods","J. Bradford Jensen & Andrew Bernard & Peter Schott, 2005. ""Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods,"" Working Papers 05-20, Center for Economic Studies, U.S. Census Bureau.","2005","Boston",NA,"J. Bradford Jensen & Andrew Bernard & Peter Schott,","2005",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Why Some Firms Export","Bernard, Andrew B., J. Bradford Jensen. 2001. NBER Working Paper 8349.","2001","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen.","2001",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Factor Price Equality and the Economies of the United States","Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott. (2001) Factor Price Equality and the Economies of the United States. NBER Working Paper 8068.","2001","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott.","2001",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Product Choice and Product Switching","Redding, Stephen & Andrew Bernard & Peter Schott, 2005. ""Product Choice and Product Switching,"" Working Papers 05-22, Center for Economic Studies, U.S. Census Bureau.","2005","Boston",NA,"Redding, Stephen & Andrew Bernard & Peter Schott,","2005",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Falling Trade Costs, Heterogeneous Firms, and Industry Dynamics","Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott. (2003) Falling Trade Costs, Heterogeneous Firms, and Industry Dynamics. NBER Working Paper 9639.","2004","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott.","2003",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Survival of the Best Fit: Exposure to Low Wage Countries and the (Uneven) Growth of US Manufacturing Plants","Bernard, Andrew B., J. Bradford Jensen, Peter K. Schott, Survival of the best fit: Exposure to low-wage countries and the (uneven) growth of U.S. manufacturing plants, Journal of International Economics, Volume 68, Issue 1, 2006, Pages 219-237, https://doi.org/10.1016/j.jinteco.2005.06.002.","2006","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen, Peter K. Schott, Survival of the best fit: Exposure to low-wage countries and the","2006","10.1016/j.jinteco.2005.06.002."
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","How Offshore Work Affects Your Industry","Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott. 2004. Harvard Business Review.","2004","Boston",NA,"Bernard, Andrew B., J. Bradford Jensen and Peter K. Schott.","2004",NA
"The Impact of Foreign Trade on the U.S. Economy","The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.","Firm Structure, Multinationals, and Manufacturing Plant Deaths","Andrew B Bernard, J. Bradford Jensen; Firm Structure, Multinationals, and Manufacturing Plant Deaths. Review of Economics and Statistics 2007; 89 (2): 193–204. doi: https://doi.org/10.1162/rest.89.2.193","2007","Boston",NA,"Andrew B Bernard, J. Bradford Jensen; Firm Structure, Multinationals, and Manufacturing Plant Deaths. Review of Economics and Statistics","2007","10.1162/rest.89.2.193"
"Do Plants Change Their Productivity and Wage Rankings?","Prior work using the LRD has demonstrated considerable plant-level heterogeneity in productivity (and, to a lesser extent, wages), and that much of this ""plant effect"" persists over time. This project examines those plants that experience large movement in their relative productivity, or in their relative wages, over the LRD time period. In particular, we wish to estimate the likelihood of sizeable (and consistent) movement in relative productivity or wages as a function of industry, plant size, firm size, sales growth, and geography (urban/rural, region). Besides estimating statistical models, we wish to construct a 5x5 tabulation of ""beginning-of-period quintile"" versus ""end-of-period quintile"" for productivity and for wages.","Wage and Productivity Stability in U.S. Manufacturing Plants","Long, Mark C., Kristin M. Dziczek, Daniel D. Luria, and
Edith A. Wiarda. 2008. Monthly Labor Review. 131(5): 24-36.","2008","Michigan",NA,"Long, Mark C., Kristin M. Dziczek, Daniel D. Luria, and
Edith A. Wiarda.","2008",NA
"Explaining Home Bias in Consumption: Production Location, Magnification, and Hysteresis","Empirical studies of interregional trade in North America have found that trade within national borders exceeds trade across national borders by a factor of twenty.  This study proposes and tests explanations for why trade appears to be so dramatically reduced by national borders.  The chief hypothesis is that firms' location decisions endogenously create ""home bias"" in trade flows.  Additional implications of the model include magnification (measured border costs dramatically overstate true costs), hysteresis (measured border effects persist after actual costs drop to zero) and internal border effects (shipping patterns within a country exhibit discontinuities that mimic costs).  The paper suggests theoretical improvements on the standard ""gravity"" model of trade, and proposes empirical tests that can be used to assess the model, relative to the gravity model. We will use the Commodity Flow data to analyze two broad implications of this model.  One, are composition effects, ignored in the previous literature, critical for understanding measured border effects? Two, are the co-location decisions of intermediate and final goods producers the source of the composition effects?","Explaining Home Bias in Consumption: The Role of Intermediate Input Trade","Russell Hillberry & David Hummels, 2002. ""Explaining Home Bias in Consumption: The Role of Intermediate Input Trade,"" NBER Working Papers 9020, National Bureau of Economic Research, Inc.","2002","Washington",NA,"Russell Hillberry & David Hummels,","2002",NA
"Explaining Home Bias in Consumption: Production Location, Magnification, and Hysteresis","Empirical studies of interregional trade in North America have found that trade within national borders exceeds trade across national borders by a factor of twenty.  This study proposes and tests explanations for why trade appears to be so dramatically reduced by national borders.  The chief hypothesis is that firms' location decisions endogenously create ""home bias"" in trade flows.  Additional implications of the model include magnification (measured border costs dramatically overstate true costs), hysteresis (measured border effects persist after actual costs drop to zero) and internal border effects (shipping patterns within a country exhibit discontinuities that mimic costs).  The paper suggests theoretical improvements on the standard ""gravity"" model of trade, and proposes empirical tests that can be used to assess the model, relative to the gravity model. We will use the Commodity Flow data to analyze two broad implications of this model.  One, are composition effects, ignored in the previous literature, critical for understanding measured border effects? Two, are the co-location decisions of intermediate and final goods producers the source of the composition effects?","Evaluating the 'Export Destination"" field in the 1997 Commodity Flow Survey","Russell Hillberry, 2003. ""Evaluating the ""Export Destination"" field in the 1997 Commodity Flow Survey,"" CES Technical Notes Series 03-02, Center for Economic Studies, U.S. Census Bureau.","2003","Washington",NA,"Russell Hillberry,","2003",NA
