title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms
The Dynamics of House Price Capitalization and Locational Sorting: Evidence from Air Quality Changes,https://doi.org/10.2139/ssrn.2205110,"Despite extensive use of housing data to reveal valuation of non-market goods, the process of house price capitalization remains vague. Using the restricted access American Housing Survey, a high-frequency panel of prices, turnover, and occupant characteristics, this paper examines the time path of capitalization and preference-based sorting in response to air quality changes caused by differential regulatory pressure from the 1990 Clean Air Act Amendments. The results demonstrate that owner-occupied units capitalize changes immediately, whereas rent capitalization lags. The delayed but sharp rent capitalization temporally coincides with evidence of sorting, suggesting a strong link between location choices and price dynamics.",2012,1/1/2012,2,Corey Lang,University of Rhode Island,Housing Market and Economics,SSRN Electronic Journal,article,Corey Lang,https://openalex.org/A5073180487,LEHD Business Register Bridge (BRB) - 2004; American Housing Survey,American Housing Survey
"Recessions, Housing Market Disruptions, and the Mobility of Workers",,"At the end of September 2010, the United States Census Bureau released the 2009 data from the American Community Survey (ACS). One of the questions that participants are asked in this survey is where they were living one year ago. The answer to this question is of particular interest to labor economists since it is one way to assess the degree to which workers are moving around the country to pursue jobs or educational opportunities. Data from the past 10 years of surveys reveal that the fraction of the population living in the same house as they were one year ago has fluctuated between 83.5 percent and 85.5 percent.",2010,11/10/2010,2,Daniel Hartley,,"Housing Market and Economics; Urban, Neighborhood, and Segregation Studies; Housing, Finance, and Neoliberalism",Economic Trends,article,Daniel A Hartley,https://openalex.org/A5102988757,American Community Survey; BOC Master Address File Auxiliary Reference File (MAFARF),American Community Survey
Are Anatomy PhDs Nearing Extinction or Adapting to Change? United States Graduate Education Trends in the Anatomical Sciences,https://doi.org/10.1002/ase.2013,"Faculty qualified to teach in the anatomical sciences are growing scarce just as the need for trained anatomists is greater than ever. Enrollments are surging in anticipation of a large physician shortfall; meanwhile, many anatomists are reaching retirement age. Who will fill the teaching gap? This study assessed trends in doctorates awarded in Anatomy and related fields within the United States (US) since 1969 and evaluated modern graduate education in the anatomical sciences. Data were compiled from the National Science Foundation Survey of Earned Doctorates. The total number of doctorates in the anatomical sciences and number of doctorates by sex and race/ethnicity were plotted for trend analysis. The number of PhD anatomy training programs within US medical schools was also assessed. Curricula and major characteristics of all active programs were evaluated through website searches and program director interviews. While doctorates in cell biology, developmental biology, and neuroscience have grown, the number of PhDs awarded in Anatomy has declined, on average, by 3.1 graduates per year to a 50-year low of only 8 graduates in 2017. Currently, 21 active doctoral programs in anatomy operate within US medical schools and fall into three general categories: anatomy education (n = 8), classic anatomy (n = 8), and anthropology/evolutionary anatomy (n = 5). Without a concerted effort by stakeholders to address the shortage, anatomists may face extinction. Expansion of the anatomy education doctoral degree may represent a necessary evolution of the field to meet job market needs and to thwart the extinction threat.",2020,8/28/2020,16,Adam B. Wilson; Niroop Kaza; Darius Singpurwalla; William S. Brooks,Rush University; University of Alabama at Birmingham; U.S. National Science Foundation; National Center for Science and Engineering Statistics; University of Alabama at Birmingham,Anatomy and Medical Technology; Health and Medical Research Impacts; Innovations in Medical Education,Anatomical Sciences Education,article,Darius J Singpurwalla,https://openalex.org/A5043895227,Survey of Doctoral Recipients; Survey of Earned Doctorates,Survey of Earned Doctorates
Update on the state of the anatomy educator shortage,https://doi.org/10.1002/ase.2303,"Anatomy education is a cornerstone of health professions education. With the expansive growth of graduate and health professions programs, increased student enrollments, and the advancement of new medical techniques and technologies, the demand for anatomy education is robust. At the time of this editorial, within the United States (U.S.) and Puerto Rico there were 330 masters level nursing programs ((AACN) AAoCoN, n.d.), 329 speech-language pathology programs (CAA, n.d.), 300 physician assistant programs (ARC-PA, n.d.), 300 physical therapy programs (CAPTE, n.d.), 248 occupational therapy programs (ACOTE, n.d.), 198 osteopathic and allopathic medicine programs (LCME, n.d.; Association AO, n.d.), 70 dental medicine programs (CODA, n.d.), and 32 veterinary medicine programs (Association AVM, n.d.). Anatomy curricula, in some form, are common among these most popular health professions programs. However, with a limited supply of anatomy educators entering the workforce (Wilson et al., 2020, 2021; Edwards et al., 2022), hiring well-qualified individuals to teach the anatomical sciences is presently a challenge. The identified supply and demand mismatch has brought anatomy job market trends into the limelight and raises the question, “Are we, as a profession, equipped to meet the current and future needs of the health education market?” The anatomy educator shortage was first reported in 1961 when Eldred and Eldred observed an imbalance in teaching faculty as the number of medical schools expanded (Eldred & Eldred, 1961). In 2002, 41 years later, a national survey found that more than 80% of chairpersons anticipated difficulty in recruiting and hiring qualified anatomy educators (Holden, 2003). More recent reports, as of 2020, have explored the anatomy educator shortage from a variety of viewpoints including chairperson perspectives (Wilson et al., 2020), American Association for Anatomy (AAA) annual job posting outcomes (Wilson et al., 2020), National Science Foundation (NSF) outcomes from the Survey of Earned Doctorates (Wilson et al., 2021), and AAA membership retirement intentions (Edwards et al., 2022). Collectively, this information points to a continued and widening shortage of anatomy educators. Over the past seven years, from 2016 to 2022, AAA job postings for anatomy educators have increased by 60% at an average rate of six additional postings per year (Figure 1; R2 = 0.56). In 2022, the AAA job board hosted 128 openings for anatomy educator positions across US and Canadian medical, health professions, and undergraduate institutions (Figure 1). These 128 postings for anatomy educator positions were collated from a larger list of 184 AAA job postings. Duplicate postings were defined as postings for the same position, at the same institution, that were posted over multiple sequential time periods throughout the course of the year. Duplicate postings and positions for postdoctoral trainees, chairpersons, administrators, basic science researchers, clinical positions, or adjunct/part-time faculty were excluded from the analysis. Fewer job postings in 2020 were likely a direct consequence of the COVID-19 pandemic (Edwards et al., 2022). The proportion of schools that have posted job openings consecutively from one year to the next has remained relatively constant over time and has not exceeded 25% of the total number of postings (Figure 2). As such, most job postings each year represented new/unique openings. The job advertisements posted across consecutive years predominately represented postings that first opened late in the calendar year (e.g., November) and lingered as unfilled positions into the next calendar year. Limited information in the AAA dataset prevented clear delineation between new versus lingering unfilled positions across consecutive years. Changes to the AAA job posting intake form are needed to yield a richer and more precise dataset. Additionally, a separate future analysis is needed to discern why certain schools take longer to fill their open positions than others, a possible byproduct of geographic characteristics, institutional factors, and the selectivity of searching anatomists (i.e., it is currently an employee's market). Based on job postings alone, the current market suggests a positive outlook for the future of the anatomy education job market. Previously, Wilson et al. reported a 5-year forecast, through 2025, regarding the number of PhD graduates expected to enter the workforce based on NSF data and the number of graduates that would be needed for the profession to reestablish a state of homeostasis (i.e., an equilibrium in the supply versus demand) (Wilson et al., 2021). Since this report, the number of PhD graduates reported by 62% (13 of 21) of active anatomy PhD programs has closely mirrored the projected estimate of 22 graduates per year (Figure 3). While 2023 is anticipated to yield at least 30 PhD anatomy graduates, these numbers (from 2020 to 2023; Figure 3) still fall short of the forecasted need of 40 to 51 graduates per year, through 2025. These forecasts did not account for faculty retirements, which now are estimated at approximately 40 per year, through at least 2026 (Edwards et al., 2022). Although job posting increases suggest a positive outlook for the profession, the trickling pipeline of anatomy PhD graduates entering the workforce is barely able to keep pace with faculty retirements, let alone fill the needs of new and expanding programs (Edwards et al., 2022). According to the NSF's Survey of Earned Doctorates dataset, over a three-year period, from 2019 to 2021, 20 different schools graduated at least one individual with a PhD in anatomy. The additional need to staff new programs, and existing programs with increased enrollments, will inevitably place further strain on the anatomy educator shortage. These outcomes suggest that within the foreseeable future, unless deliberate actions are taken and sustainable streams of financial support are identified, the supply of PhD-trained anatomists will continue to trail behind the growing health professions' demand for anatomy education. Without an adequate supply of anatomy educators, departments may come to rely more heavily on retirees, masters-trained individuals, and/or faculty from other related disciplines, which has the potential to increase demands for additional professional development (Wilson et al., 2018). While similar supply and demand misalignments may be occurring internationally, this dataset cannot be generalized to health education markets in other countries. The outcomes reported herein relied solely on the AAA job board. These numbers may be underestimates of the job market demand as they may not fully capture open positions posted through other sources. Future investigations that include data from additional job boards (e.g., American Association of Clinical Anatomists (AACA), Human Anatomy and Physiology Society (HAPS)) are needed to ensure a more comprehensive assessment of the anatomy education job market. Continued annual monitoring of the anatomy educator job market is necessary for identifying gaps and recognizing areas for improvement. However, simply tracking numbers without strategically developing and implementing a solution to reverse the shortage is not enough. To use an analogy, we must not allow a “threatened” species to become “endangered” without considering a need for intervention. To make a concerted effort to reverse the anatomy educator shortage will require input, cooperation, and coordination between anatomy PhD programs, departments, and professional associations. Instead of merely pontificating about the anatomy educator shortage, we must actively work to devise practical solutions to help turn the tide. Remaining idle at this critical juncture and failing to capitalize on our profession's unique growth opportunity will only result in stagnation within our community and perhaps a further loss of identity among anatomists. The authors would like to thank Liz Phares for providing the American Association for Anatomy Job Board data used in this manuscript.",2023,5/30/2023,9,Colleen N. Garnett; William S. Brooks; Darius Singpurwalla; Adam B. Wilson,University of Alabama at Birmingham; University of Alabama at Birmingham; U.S. National Science Foundation; National Center for Science and Engineering Statistics; Rush University,Anatomy and Medical Technology; Innovations in Medical Education; Surgical Simulation and Training,Anatomical Sciences Education,editorial,Darius J Singpurwalla,https://openalex.org/A5043895227,Survey of Doctoral Recipients; Survey of Earned Doctorates,Survey of Earned Doctorates
Forced-Choice Versus Open-Ended Versions of the Field of Bachelor's Degree Question in the 2007 ACS Content Test,,"The U.S. Census Bureau conducted the 2007 American Community Survey (ACS) Content Test from July through September 2007. As part of the test, the Census Bureau tested two versions, a forced-choice version and an openended version, of a new question proposed for inclusion in the ACS. The question collects information from respondents about the field(s) of study of their bachelor’s degree. In the open-ended version of the question, the respondent lists the specific field(s) of degree. The forced-choice version consists of eight categories for the respondent to indicate whether or not a person’s field of degree could be classified into each of the categories listed. Half of the selected sample addresses were randomly assigned the openended version, while the other half received the forced-choice version. Standard ACS data collection procedures were used to collect data for the 2007 ACS Content Test. Additionally, to test the reliability and consistency of respondents’ answers to the field of degree questions, a Content Follow-Up reinterview was conducted by telephone during which respondents were asked both versions of the question. Respondents were asked the same version they received in the original interview first, followed by the other version. This paper will present a comparison of the two versions of the field of degree question including overall response distributions, item nonresponse rates, comparability with existing data sources, response consistency, and reliability measures.",2008,1/1/2008,0,Mary Frances; E. Zelenak; David A. Raglin; Mary C. Davis; Jennifer Guarino Tancreto,,Survey Methodology and Nonresponse; Racial and Ethnic Identity Research; Food Security and Health in Diverse Populations,,article,David A Raglin,https://openalex.org/A5045099389,American Community Survey (ACS) and Linked HUD-Subsidized Administrative data; American Community Survey,American Community Survey
A New Infrastructure for Monitoring Social Mobility in the United States,https://doi.org/10.1177/0002716214549941,"The country's capacity to monitor trends in social mobility has languished since the last major survey on U.S. social mobility was fielded in 1973. It is accordingly difficult to evaluate recent concerns that social mobility may be declining or to develop mobility policy that is adequately informed by evidence. This article presents a new initiative, dubbed the American Opportunity Study (AOS), that would allow the country to monitor social mobility efficiently and with great accuracy. The AOS entails developing the country's capacity to link records across decennial censuses, the American Community Survey, and administrative sources. If an AOS of this sort were assembled, it would open up new fields of social science inquiry; increase opportunities for evidence-based policy on poverty, mobility, child development, and labor markets; and otherwise constitute a new social science resource with much reach and impact.",2014,12/10/2014,39,David B. Grusky; Timothy M. Smeeding; C. Matthew Snipp,,"Urban, Neighborhood, and Segregation Studies; Intergenerational and Educational Inequality Studies; Health disparities and outcomes",The Annals of the American Academy of Political and Social Science,article,David B Grusky,https://openalex.org/A5043962579,BOC PIK Crosswalk American Community Survey (ACS); American Community Survey; Current Population Survey March Supplement,American Community Survey
A New Infrastructure for Monitoring Social Mobility in the United States,https://doi.org/10.1177/0002716214549941,"The country's capacity to monitor trends in social mobility has languished since the last major survey on U.S. social mobility was fielded in 1973. It is accordingly difficult to evaluate recent concerns that social mobility may be declining or to develop mobility policy that is adequately informed by evidence. This article presents a new initiative, dubbed the American Opportunity Study (AOS), that would allow the country to monitor social mobility efficiently and with great accuracy. The AOS entails developing the country's capacity to link records across decennial censuses, the American Community Survey, and administrative sources. If an AOS of this sort were assembled, it would open up new fields of social science inquiry; increase opportunities for evidence-based policy on poverty, mobility, child development, and labor markets; and otherwise constitute a new social science resource with much reach and impact.",2014,12/10/2014,39,David B. Grusky; Timothy M. Smeeding; C. Matthew Snipp,,"Urban, Neighborhood, and Segregation Studies; Intergenerational and Educational Inequality Studies; Health disparities and outcomes",The Annals of the American Academy of Political and Social Science,article,David B Grusky,https://openalex.org/A5043962579,Decennial Census; BOC PIK Crosswalk Census Unedited File (CUF); State - State Tax - California,Decennial Census
Assessing the Impact of Differential Privacy on Measures of Population and Racial Residential Segregation,https://doi.org/10.1162/99608f92.5cd8024e,"The U.S. Census Bureau plans to use a new disclosure avoidance technique based on differential privacy to protect respondent confidentiality for the 2020 Decennial Census of Population and Housing.Their new technique injects noise based on a number of parameters into published statistics.While the noise injection does protect respondent confidentiality, it achieves the protection at the cost of less accurate data.To better understand the impact that differential privacy has on accuracy, we compare data from the complete-count 1940 Census with multiple differentially private versions of the same data set.We examine the absolute and relative accuracy of population counts in total and by race for multiple geographic levels, and we compare commonly used measures of residential segregation computed from these data sets.We find that accuracy varies by the global privacy-loss budget and the allocation of the privacy-loss budget to geographic levels (e.g., states, counties, enumeration district) and queries.For measures of segregation, we observe situations where the differentially private data indicate less segregation than the original data and situations where the differentially private data indicate more segregation than the original data.The sensitivity of accuracy to the overall global privacy-loss budget and its allocation highlight the fundamental importance of these policy decisions.Data producers like the U.S. Census Bureau must collaborate with users not only to determine the most useful set of parameters to receive allocations of the privacy-loss budget, but also to provide documentation and tools for users to gauge the reliability and validity of statistics from publicly released data products.If they do not, producers may create statistics that are unusable or misleading for the wide variety of use cases that rely on those statistics.",2022,6/24/2022,11,Brian J. Asquith; Brad J. Hershbein; Tracy A. Kugler; Shane Reed; Steven Ruggles; Jonathan Schroeder; Steve Yesiltepe; David Van Riper,W.E. Upjohn Institute for Employment Research; Michigan United; W.E. Upjohn Institute for Employment Research; Michigan United; University of Minnesota; W.E. Upjohn Institute for Employment Research; Michigan United; University of Minnesota Medical Center; University of Minnesota Medical Center; W.E. Upjohn Institute for Employment Research; Michigan United; University of Minnesota Medical Center,"Urban, Neighborhood, and Segregation Studies; Census and Population Estimation; Survey Methodology and Nonresponse",Harvard data science review,article,David Van Riper,https://openalex.org/A5086899416,Address Control FIle; Decennial Census; Master Address File Extract,Decennial Census
"Optimized spatial information for 1990, 2000, and 2010 U.S. census microdata",https://doi.org/10.1038/s41597-023-02859-9,"We report on the successful completion of a project to upgrade the positional accuracy of every response to the 1990, 2000, and 2010 U.S. decennial censuses. The resulting data set, called Optimized Spatial Census Information Linked Across Time (OSCILAT), resides within the restricted-access data warehouse of the Federal Statistical Research Data Center (FSRDC) system where it is available for use with approval from the U.S. Census Bureau. OSCILAT greatly improves the accuracy and completeness of spatial information for older censuses conducted prior to major quality improvements undertaken by the Bureau. Our work enables more precise spatial and longitudinal analysis of census data and supports exact tabulations of census responses for arbitrary spatial units, including tabulating responses from 1990, 2000, and 2010 within 2020 block boundaries for precise measures of change over time for small geographic areas.",2024,1/5/2024,0,Christopher S. Fowler; James Gaboardi; Jonathan Schroeder; David Van Riper,Pennsylvania State University; Oak Ridge National Laboratory; University of Minnesota Medical Center; University of Minnesota Medical Center,Human Mobility and Location-Based Analysis; Impact of Light on Environment and Health; demographic modeling and climate adaptation,Scientific Data,article,David Van Riper,https://openalex.org/A5086899416,Address Control FIle; Decennial Census; Master Address File Extract,Decennial Census
Has Falling Crime Invited Gentrification?,https://doi.org/10.2139/ssrn.2930242,"Over the past two decades, crime has fallen dramatically in cities in the United States. We explore whether, in the face of falling central city crime rates, households with more resources and options were more likely to move into central cities overall and more particularly into low income and/or majority minority central city neighborhoods. We use confidential, geocoded versions of the 1990 and 2000 Decennial Census and the 2010, 2011, and 2012 American Community Survey to track moves to different neighborhoods in 244 Core Based Statistical Areas (CBSAs) and their largest central cities. Our dataset includes over four million household moves across the three time periods. We focus on three household types typically considered gentrifiers: high-income, college-educated, and white households. We find that declines in city crime are associated with increases in the probability that high income and college-educated households choose to move into central city neighborhoods, including low-income and majority minority central city neighborhoods. Moreover, we find little evidence that households with lower incomes and without college degrees are more likely to move to cities when violent crime falls. These results hold during the 1990s as well as the 2000s and for the 100 largest metropolitan areas, where crime declines were greatest. There is weaker evidence that white households are disproportionately drawn to cities as crime falls in the 100 largest metropolitan areas from 2000 to 2010.",2017,1/1/2017,19,Ingrid Gould Ellen; Keren Mertens Horn; Davin Reed,Wagner College; New York University; University of Massachusetts Boston; Federal Reserve Bank of Philadelphia,"Urban, Neighborhood, and Segregation Studies; Housing Market and Economics; Crime Patterns and Interventions",SSRN Electronic Journal,article,Davin Reed,https://openalex.org/A5060888970,American Community Survey; BOC Master Address File Auxiliary Reference File (MAFARF),American Community Survey
Has Falling Crime Invited Gentrification,,"Over the past two decades, crime has fallen dramatically in cities in the United States. We explore whether, in the face of falling central city crime rates, households with more resources and options were more likely to move into central cities overall and more particularly into low income and/or majority minority central city neighborhoods. We use confidential, geocoded versions of the 1990 and 2000 Decennial Census and the 2010, 2011, and 2012 American Community Survey to track moves to different neighborhoods in 244 Core Based Statistical Areas (CBSAs) and their largest central cities. Our dataset includes over four million household moves across the three time periods. We focus on three household types typically considered gentrifiers: high-income, college-educated, and white households. We find that declines in city crime are associated with increases in the probability that highincome and college-educated households choose to move into central city neighborhoods, including low-income and majority minority central city neighborhoods. Moreover, we find little evidence that households with lower incomes and without college degrees are more likely to move to cities when violent crime falls. These results hold during the 1990s as well as the 2000s and for the 100 largest metropolitan areas, where crime declines were greatest. There is weaker evidence that white households are disproportionately drawn to cities as crime falls in the 100 largest metropolitan areas from 2000 to 2010.",2017,1/1/2017,0,Ingrid Gould Ellen; Keren Mertens Horn; Davin Reed,Wagner College; New York University; University of Massachusetts Boston; Federal Reserve Bank of Philadelphia,"Urban, Neighborhood, and Segregation Studies; Crime Patterns and Interventions; Housing Market and Economics",,preprint,Davin Reed,https://openalex.org/A5060888970,American Community Survey; BOC Master Address File Auxiliary Reference File (MAFARF),American Community Survey
Has Falling Crime Invited Gentrification?,https://doi.org/10.2139/ssrn.2930242,"Over the past two decades, crime has fallen dramatically in cities in the United States. We explore whether, in the face of falling central city crime rates, households with more resources and options were more likely to move into central cities overall and more particularly into low income and/or majority minority central city neighborhoods. We use confidential, geocoded versions of the 1990 and 2000 Decennial Census and the 2010, 2011, and 2012 American Community Survey to track moves to different neighborhoods in 244 Core Based Statistical Areas (CBSAs) and their largest central cities. Our dataset includes over four million household moves across the three time periods. We focus on three household types typically considered gentrifiers: high-income, college-educated, and white households. We find that declines in city crime are associated with increases in the probability that high income and college-educated households choose to move into central city neighborhoods, including low-income and majority minority central city neighborhoods. Moreover, we find little evidence that households with lower incomes and without college degrees are more likely to move to cities when violent crime falls. These results hold during the 1990s as well as the 2000s and for the 100 largest metropolitan areas, where crime declines were greatest. There is weaker evidence that white households are disproportionately drawn to cities as crime falls in the 100 largest metropolitan areas from 2000 to 2010.",2017,1/1/2017,19,Ingrid Gould Ellen; Keren Mertens Horn; Davin Reed,Wagner College; New York University; University of Massachusetts Boston; Federal Reserve Bank of Philadelphia,"Urban, Neighborhood, and Segregation Studies; Housing Market and Economics; Crime Patterns and Interventions",SSRN Electronic Journal,article,Davin Reed,https://openalex.org/A5060888970,Commercial Black Knight Assessment Data (ASMT); HUD PIC and TRACS Longitudinal; Decennial Census,Decennial Census
Has Falling Crime Invited Gentrification,,"Over the past two decades, crime has fallen dramatically in cities in the United States. We explore whether, in the face of falling central city crime rates, households with more resources and options were more likely to move into central cities overall and more particularly into low income and/or majority minority central city neighborhoods. We use confidential, geocoded versions of the 1990 and 2000 Decennial Census and the 2010, 2011, and 2012 American Community Survey to track moves to different neighborhoods in 244 Core Based Statistical Areas (CBSAs) and their largest central cities. Our dataset includes over four million household moves across the three time periods. We focus on three household types typically considered gentrifiers: high-income, college-educated, and white households. We find that declines in city crime are associated with increases in the probability that highincome and college-educated households choose to move into central city neighborhoods, including low-income and majority minority central city neighborhoods. Moreover, we find little evidence that households with lower incomes and without college degrees are more likely to move to cities when violent crime falls. These results hold during the 1990s as well as the 2000s and for the 100 largest metropolitan areas, where crime declines were greatest. There is weaker evidence that white households are disproportionately drawn to cities as crime falls in the 100 largest metropolitan areas from 2000 to 2010.",2017,1/1/2017,0,Ingrid Gould Ellen; Keren Mertens Horn; Davin Reed,Wagner College; New York University; University of Massachusetts Boston; Federal Reserve Bank of Philadelphia,"Urban, Neighborhood, and Segregation Studies; Crime Patterns and Interventions; Housing Market and Economics",,preprint,Davin Reed,https://openalex.org/A5060888970,Commercial Black Knight Assessment Data (ASMT); HUD PIC and TRACS Longitudinal; Decennial Census,Decennial Census
Micro Data and Macro Technology,https://doi.org/10.2139/ssrn.2188988,"We study the implications of microeconomic heterogeneity for aggregate technology, showing that the aggregate elasticity of substitution between capital and labor can be expressed as a simple function of plant level structural parameters and sufficient statistics for plant heterogeneity. This allows for a new approach to estimating the aggregate elasticity using microeconomic data and allows us to examine how the aggregate elasticity varies over time or across countries. We then use plant level data from the Census of Manufactures to construct an aggregate elasticity of substitution for the manufacturing sector, and estimate an aggregate elasticity of approximately 0.72 in 1987. We find that the aggregate elasticity has risen over time in the US and is higher in less developed countries. These differences are quantitatively important; our estimates imply that a change in the interest rate has a 50 percent larger impact on India than the US. Finally, we measure the bias of aggregate technical change using our estimates of the aggregate elasticity, and find that the bias of technical change has increased in recent years.",2012,1/1/2012,18,Ezra Oberfield; Devesh Raval,Princeton University; University of Chicago,Economic Growth and Productivity; Fiscal Policy and Economic Growth; Global trade and economics,SSRN Electronic Journal,article,Devesh R Raval,https://openalex.org/A5042284561,Standard Statistical Establishment List - non Name and Address File; Ownership Change Database; Census of Manufactures,Census of Manufactures
Micro Data and the Macro Elasticity of Substitution,,"We estimate the aggregate elasticity of substitution between capital and labor in the US manufacturing sector. We show that the aggregate elasticity of substitution can be expressed as a simple function of plant level structural parameters and sufficient statistics of the distribution of plant input cost shares. We then use plant level data from the Census of Manufactures to construct a local elasticity of substitution at various levels of aggregation. Our approach does not assume the existence of a stable aggregate production function, as we build up our estimate from the cross section of plants at a point in time. Accounting for substitution within and across plants, we find that the aggregate elasticity is substantially below unity at approximately 0.7. Lastly we assess the sources of the bias of aggregate technical change from 1987 to 1997. We find that the labor augmenting character of aggregate technical change is due almost exclusively to labor augmenting productivity growth at the plant level rather than relative growth in capital intensive plants.",2012,3/1/2012,5,Ezra Oberfield; Devesh Raval,,Economic Growth and Productivity; Firm Innovation and Growth; Global trade and economics,RePEc: Research Papers in Economics,preprint,Devesh R Raval,https://openalex.org/A5042284561,Standard Statistical Establishment List - non Name and Address File; Ownership Change Database; Census of Manufactures,Census of Manufactures
Micro Data and the Macro Elasticity of Substitution,https://doi.org/10.2139/ssrn.2025927,"We estimate the aggregate elasticity of substitution between capital and labor in the US manufacturing sector. We show that the aggregate elasticity of substitution can be expressed as a simple function of plant level structural parameters and sufficient statistics of the distribution of plant input cost shares. We then use plant level data from the Census of Manufactures to construct a local elasticity of substitution at various levels of aggregation. Our approach does not assume the existence of a stable aggregate production function, as we build up our estimate from the cross section of plants at a point in time. Accounting for substitution within and across plants, we find that the aggregate elasticity is substantially below unity at approximately 0.7. Lastly we assess the sources of the bias of aggregate technical change from 1987 to 1997. We find that the labor augmenting character of aggregate technical change is due almost exclusively to labor augmenting productivity growth at the plant level rather than relative growth in capital intensive plants.",2012,1/1/2012,0,Ezra Oberfield; Devesh Raval,Princeton University; University of Chicago,Economic Growth and Productivity; Firm Innovation and Growth; Global trade and economics,SSRN Electronic Journal,article,Devesh R Raval,https://openalex.org/A5042284561,Standard Statistical Establishment List - non Name and Address File; Ownership Change Database; Census of Manufactures,Census of Manufactures
How should we Define “Rural” when Investigating Rural Tobacco use in the United States?,https://doi.org/10.1080/08897077.2020.1856292,"Purpose: Investigations into rural tobacco-related disparities in the U.S. are hampered by the lack of a standardized approach for identifying the rurality-and, consequently, the urbanicity-of an area. Therefore, the purpose of this study was to compare the most common urban/rural definitions (Census Bureau, OMB, RUCA, and Isolation) and determine which is preferable for explaining the geographic distribution of several tobacco-related outcomes (behavior, receiving a doctor's advice to quit, and support for secondhand smoke policies). Methods: Data came from The Current Population Survey Tobacco Use Supplement. For each tobacco-related outcome, one logistic regression was conducted for each urban/rural measure. Models were then ranked according to their ability to explain the data using Akaike information criterion (AIC). Results: Each definition provided very different estimates for the prevalence of the U.S. population that is considered ""rural"" (e.g., 5.9% for the OMB, 17.0% for the Census Bureau). The OMB definition was most sensitive at detecting urban/rural differences, followed by the Isolation scale. Both these measures use strict, less-inclusive criteria for what constitutes ""rural."" Conclusions: Overall, results demonstrate the heterogeneity across urban/rural measures. Although findings do not provide a definitive answer for which urban/rural definition is the best for examining rural tobacco use, they do suggest that the OMB and Isolation measures may be most sensitive to detecting many types of urban/rural tobacco-related disparities. Caveats and implications of these findings for rural tobacco use disparities research are discussed. Efforts such as these to better understand which rural measure is appropriate for which situation can improve the precision of rural substance use research.",2020,12/15/2020,3,Megan E. Roberts; Nathan Doogan; Erin Tanenbaum; Frances Stillman; Elizabeth A. Mumford; Devi Chelluri; Mary Ellen Wewers,The Ohio State University; The Ohio State University; National Opinion Research Center; University of Chicago; National Opinion Research Center; University of Chicago; National Opinion Research Center; University of Chicago; National Opinion Research Center; University of Chicago; The Ohio State University,Smoking Behavior and Cessation,Substance Abuse,article,Devi Chelluri,https://openalex.org/A5002297893,Current Population Survey Tobacco Use Supplement; Current Population Survey Computer and Internet Use Supplement,Current Population Survey Tobacco Use Supplement
"Hispanic Disaster Preparedness in the United States, 2017: Examining the Association with Residential Characteristics.",,"The number of highly destructive disasters is increasing in regions of the United States where the Hispanic population is growing fastest. Up-to-date studies of disaster preparedness are needed that include housing measures and other factors that may account for differences in disaster preparedness between Hispanics and other racial and ethnic groups. This study fills this gap in the literature by using data from the 2017 American Housing Survey, which includes a topical module on disaster planning along with the core measures of housing and neighborhood characteristics, including housing tenure. The results reveal that Hispanics are generally less prepared than non-Hispanic Whites regarding resource- and action-based measures, with a few exceptions. Hispanics, Blacks, and Asians are significantly more likely than Whites to have at least 3 gallons of water per person, and Hispanics and Blacks are significantly more likely than Whites and Asians to have flood insurance. The findings show that housing and residential characteristics are consistently significant in predicting preparedness-controlling for other relevant variables-although they do not attenuate the disadvantages that Hispanics and Blacks face in their disaster preparedness relative to Whites. Future research would benefit from further exploration of the linkage between racial and ethnic inequalities in housing and neighborhood characteristics and household disaster preparedness.",2021,1/1/2021,4,Samantha Friedman; Elizabeth Fussell; Mayuko Nakatsuka; Recai Yucel,"University at Albany, State University of New York; John Brown University; University at Albany, State University of New York; Temple College; Temple University",Disaster Management and Resilience; Flood Risk Assessment and Management; Tropical and Extratropical Cyclones Research,PubMed,article,Elizabeth Fussell,https://openalex.org/A5020641779,BOC Master Address File Auxiliary Reference File (MAFARF); Household Pulse Survey; American Housing Survey,American Housing Survey
